Item,2024-25_Actual,2025-26_Forecast,2026-27_Estimate,2027-28_Target,2028-29_Target,Change_vs_2024,Pct_Change_vs_2024
Personal income tax,16120,14771,15933,16612,17741,-187,-1.2
Corporate income tax,8125,7420,7300,7472,7615,-825,-10.2
Education property tax,2797,3124,3592,3792,3848,795,28.4
Fuel tax / electric vehicle tax,1431,1426,1450,1480,1512,19,1.3
Tobacco / vaping tax,414,406,385,355,325,-29,-7.0
Insurance tax,914,984,1060,1142,1232,146,16.0
Cannabis tax,232,225,229,232,236,-3,-1.3
Tourism levy,126,138,200,207,214,74,58.7
Other taxes,197,299,321,353,453,124,62.9
Bitumen royalty,17167,12669,9688,12102,12765,-7479,-43.6
Other non-renewable resource revenue,4819,3617,3525,4132,4126,-1294,-26.9
Transfers from Government of Canada,12618,13566,13715,13826,13839,1097,8.7
Investment income,4803,4568,4358,4071,4052,-445,-9.3
Net income from govt. business enterprises,2053,2194,2621,2709,2759,568,27.7
"Premiums, fees and licences",5504,5640,6000,6170,6424,496,9.0
Other,5149,4245,4173,4259,4376,-976,-19.0
