Type,Item,2024-25_Actual,2026-27_Estimate,Change,Pct_Change
Revenue,Bitumen royalty,17167,9688,-7479,-43.6
Expense,Hospital and Surgical Health Services,11491,13832,2341,20.4
Expense,Education and Childcare,11417,13436,2019,17.7
Expense,Assisted Living and Social Services,10282,12233,1951,19.0
Revenue,Other non-renewable resource revenue,4819,3525,-1294,-26.9
Revenue,Transfers from Government of Canada,12618,13715,1097,8.7
Expense,Agriculture and Irrigation,1988,963,-1025,-51.6
Expense,Primary and Preventative Health Services,11649,12653,1004,8.6
Revenue,Other,5149,4173,-976,-19.0
Revenue,Corporate income tax,8125,7300,-825,-10.2
