fiscal_year,total_revenue_millions,personal_income_tax_millions,corporate_income_tax_millions,other_tax_revenue_millions,resource_revenue_millions,investment_income_millions,federal_transfers_millions,other_revenue_millions,total_expense_millions,program_expense_millions,debt_servicing_millions,pension_provisions_millions,surplus_deficit_millions,fiscal_status,reporting_basis,source_document
2000-01,25527,3943,2023,2537,10586,1353,1813,3272,18956,17976,980,,6571,Surplus,Fiscal Plan,2011-2012 Budget.pdf (Historical Table)
2001-02,21926,4183,2229,2563,6227,788,2264,3672,20845,20071,774,,1081,Surplus,Fiscal Plan,2011-2012 Budget.pdf (Historical Table)
2002-03,22662,4834,2019,2746,7130,-462,2074,4321,20529,20053,476,,2133,Surplus,Fiscal Plan,2011-2012 Budget.pdf (Historical Table)
2003-04,25887,4613,1696,3016,7676,1838,2926,4122,21751,21480,271,,4136,Surplus,Fiscal Plan,2011-2012 Budget.pdf (Historical Table)
2004-05,29328,4649,2364,3165,9744,1812,3219,4375,24153,23851,302,,5175,Surplus,Fiscal Plan,2011-2012 Budget.pdf (Historical Table)
2005-06,35542,4677,2917,3273,14347,2348,3392,4588,26991,26743,248,,8551,Surplus,Fiscal Plan,2011-2012 Budget.pdf (Historical Table)
2006-07,38017,7622,3606,3468,12260,3013,3077,4971,29507,29292,215,,8510,Surplus,Fiscal Plan,2011-2012 Budget.pdf (Historical Table)
2007-08,38169,8271,4695,3573,11024,2414,3048,5144,33588,33374,214,,4581,Surplus,Fiscal Plan,2011-2012 Budget.pdf (Historical Table)
2008-09,39325,8708,4252,3817,11915,-1888,4578,7943,40256,37915,208,2133,-931,Deficit,Consolidated Financial Statements,2018-19 Budget.pdf (Historical Table)
2009-10,39512,7877,4754,3746,6768,3541,5342,7484,39988,39344,214,430,-476,Deficit,Consolidated Financial Statements,2018-19 Budget.pdf (Historical Table)
2010-11,38976,7631,3334,3820,8428,2486,5452,7825,41238,40327,472,439,-2262,Deficit,Consolidated Financial Statements,2018-19 Budget.pdf (Historical Table)
2011-12,43395,8563,3678,4099,11636,2168,5192,8059,43509,42366,509,634,-114,Deficit,Consolidated Financial Statements,2018-19 Budget.pdf (Historical Table)
2012-13,42544,9621,4756,4333,7779,2595,5042,8418,45643,44817,530,296,-3099,Deficit,Consolidated Financial Statements,2018-19 Budget.pdf (Historical Table)
2013-14,49434,10537,5488,4500,9578,3423,7059,8849,49736,48387,601,748,-302,Deficit,Consolidated Financial Statements,2024-2025 Budget.pdf (Historical Table)
2014-15,49481,11042,5796,4598,8948,3113,5982,10002,48366,48048,722,-404,1115,Surplus,Consolidated Financial Statements,2024-2025 Budget.pdf (Historical Table)
2015-16,42619,11357,4195,5168,2789,2544,7142,9424,49061,48915,776,-630,-6442,Deficit,Consolidated Financial Statements,2024-2025 Budget.pdf (Historical Table)
2016-17,42293,10763,3769,5649,3097,3698,7979,7338,53077,52602,1018,-543,-10784,Deficit,Consolidated Financial Statements,2024-2025 Budget.pdf (Historical Table)
2017-18,47295,10775,3448,6538,4980,3126,7606,10822,55318,54491,1420,-593,-8023,Deficit,Consolidated Financial Statements,2024-2025 Budget.pdf (Historical Table)
2018-19,49572,11874,4871,6833,5429,2349,8013,10203,56283,54502,1971,-190,-6711,Deficit,Consolidated Financial Statements,2024-2025 Budget.pdf (Historical Table)
2019-20,46224,11244,4107,5747,5937,2828,9072,7289,58376,56475,2235,-334,-12152,Deficit,Consolidated Financial Statements,2024-2025 Budget.pdf (Historical Table)
2020-21,43137,11257,3037,5285,3091,2643,10532,7293,60099,57895,2486,-282,-16962,Deficit,Consolidated Financial Statements,2024-2025 Budget.pdf (Historical Table)
2021-22,68322,13335,4718,5453,16170,3579,11595,13472,64407,62131,2641,-365,3915,Surplus,Consolidated Financial Statements,2024-2025 Budget.pdf (Historical Table)
2022-23,75982,13925,8167,4271,25242,1334,11363,11680,64498,61691,2828,-21,11484,Surplus,Consolidated Financial Statements,2024-2025 Budget.pdf (Historical Table)
2023-24,74738,15160,7044,4543,19287,4587,12336,11781,70453,67676,3149,-372,4285,Surplus,Consolidated Financial Statements,2024-2025 Budget.pdf (Historical Table)
2024-25,82469,16120,8125,6111,21986,4803,12618,12706,74149,71337,3215,-403,8320,Surplus,Consolidated Financial Statements,2024-2025 Budget.pdf (Historical Table)
