Section,Item,"At March 31, 2025 (Actual)","At March 31, 2026 (Forecast)","At March 31, 2027 (Estimate)","At March 31, 2028 (Target)","At March 31, 2029 (Target)"
Financial Assets,Alberta Heritage Savings Trust Fund,24743,29857,32082,34022,35880
Financial Assets,Alberta Heritage Foundation for Medical Research,2370,2618,2838,3017,3187
Financial Assets,Alberta Heritage Science and Engineering Research,1374,1520,1646,1748,1842
Financial Assets,Alberta Heritage Scholarship,1539,1702,1843,1954,2059
Financial Assets,Alberta Enterprise Corporation,323,319,315,311,306
Financial Assets,General Revenue Fund - surplus cash,2571,0,0,0,0
Financial Assets,General Revenue Fund - debt retirement,9952,1926,0,0,0
Financial Assets,Alberta Fund,2571,0,0,0,0
Financial Assets,Loans to local authorities,13823,15073,15932,16642,17295
Financial Assets,Agriculture Financial Services Corporation,2920,3247,4439,5789,7327
Financial Assets,Equity in commercial enterprises,735,638,853,1123,1421
Financial Assets,Student loans,4936,5077,5265,5441,5646
Financial Assets,TIER Fund,1106,1157,1173,1194,1223
Financial Assets,Other financial assets,28972,20961,21783,22555,22377
Financial Assets,Total financial assets,97935,84095,88169,93795,98565
Liabilities,Direct borrowing for the Capital Plan,48045,54471,61849,69555,76206
Liabilities,P3s (Capital Plan),2515,2500,2525,2444,2343
Liabilities,Teachers Pension Plan debt,451,451,451,451,451
Liabilities,Direct borrowing for the Fiscal Plan,34214,34665,44041,51500,58492
Liabilities,Total taxpayer-supported debt,85225,92086,108867,123950,137492
Liabilities,Debt issued for loans to local authorities,13823,15073,15932,16642,17295
Liabilities,AFSC debt,3434,3672,3907,3947,4072
Liabilities,Total taxpayer and self-supported debt,102482,110832,128705,144538,158859
Liabilities,Coal phase-out liabilities,514,432,353,269,182
Liabilities,Pension liabilities,7504,7292,6884,6469,6046
Liabilities,Asset retirement obligations,2579,2579,2567,2554,2542
Liabilities,Other liabilities,19193,2659,1023,1387,687
Liabilities,Total liabilities,132272,123793,139532,155217,168315
Net Position,Net financial assets / (debt),-34337,-39699,-51363,-61422,-69750
Net Position,Capital / other non-financial assets,62925,64200,66383,68834,70204
Net Position,Spent deferred capital contributions,-4080,-4127,-4018,-3991,-3937
Net Position,Net assets,24508,20374,11002,3421,-3483
Net Position,Net debt to GDP,-7.2,-8.3,-10.5,-11.8,-12.9
