Category,Item,2024-25 Actual,2025-26 Budget,2025-26 Forecast,2026-27 Estimate,2027-28 Target,2028-29 Target
Income Taxes,Personal income tax,16120,15510,14771,15933,16612,17741
Income Taxes,Corporate income tax,8125,6764,7420,7300,7472,7615
Income Taxes,Subtotal income taxes,24245,22274,22191,23233,24084,25356
Other Taxes,Education property tax,2797,3124,3124,3592,3792,3848
Other Taxes,Fuel tax / electric vehicle tax,1431,1438,1426,1450,1480,1512
Other Taxes,Tobacco / vaping tax,414,420,406,385,355,325
Other Taxes,Insurance tax,914,972,984,1060,1142,1232
Other Taxes,Cannabis tax,232,215,225,229,232,236
Other Taxes,Tourism levy,126,122,138,200,207,214
Other Taxes,Other taxes,197,272,299,321,353,453
Other Taxes,Subtotal other taxes,6111,6563,6603,7237,7562,7821
Tax Revenue,Total tax revenue,30356,28837,28794,30470,31646,33177
Resource Revenue,Bitumen royalty,17167,12830,12669,9688,12102,12765
Resource Revenue,Other non-renewable resource revenue,4819,4237,3617,3525,4132,4126
Resource Revenue,Total non-renewable resource revenue,21986,17067,16285,13213,16234,16892
Federal Transfers,Transfers from Government of Canada,12618,13305,13566,13715,13826,13839
Investment Income,Investment income,4803,2883,4568,4358,4071,4052
Other Revenue,Net income from govt. business enterprises,2053,2016,2194,2621,2709,2759
Other Revenue,"Premiums, fees and licences",5504,5756,5640,6000,6170,6424
Other Revenue,Other,5149,4273,4245,4173,4259,4376
Total,Total revenue,82469,74138,75292,74550,78914,81518
