fiscal_year,Advanced Education,Education (K-12),Health,Other,Social Services,total_operating
2011-12,2780,5977,14706,6237,4475,34175
2012-13,2856,6179,15864,6645,4982,36526
2013-14,2679,6301,17240,7208,4226,37654
2014-15,2695,6505,17874,7188,4685,38947
2015-16,5141,7553,18522,7149,4820,43185
2016-17,5380,7794,19299,8556,5122,46151
2017-18,5548,7920,19769,8029,5485,46751
2018-19,5392,8223,20409,8659,5759,48442
2019-20,5477,8134,20870,9015,6207,49703
2020-21,5132,7707,21378,10743,5745,50705
2021-22,5280,7846,22830,10350,6036,52342
2022-23,5561,8308,23526,10018,7313,54726
2023-24,6233,8878,25316,10829,6887,58143
2024-25,6608,9288,27266,11810,7054,62026
